"Name","Year","Wins","Losses","Win_Percent","Arena","Location","Capacity"
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",1990,46,26,0.638888888888889,NA,NA,NA
"Calgary Flames",1991,31,37,0.455882352941176,NA,NA,NA
"Calgary Flames",2012,19,25,0.431818181818182,NA,NA,NA
"Calgary Flames",2013,35,40,0.466666666666667,NA,NA,NA
"Calgary Flames",2014,45,30,0.6,NA,NA,NA
"Calgary Flames",2015,35,40,0.466666666666667,NA,NA,NA
